Pre-Match PPG (Home),Pre-Match PPG (Away),home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_fouls,away_team_fouls,home_team_possession,team_a_xg,team_b_xg,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,result
0.0,0.0,5,0,3,0,2,0,11,7,4,2,13,13,50,0.0,0.0,3.24,3.3,2.39,2.0
0.0,0.0,9,5,2,0,2,0,7,2,3,0,22,28,56,0.0,0.0,2.72,3.25,2.82,0.0
0.0,0.0,8,4,2,0,1,0,16,8,5,2,8,17,57,0.0,0.0,2.24,3.4,3.45,1.0
0.0,0.0,2,3,2,0,2,0,6,9,3,2,21,24,51,0.0,0.0,3.79,3.45,2.1,2.0
0.0,0.0,6,3,0,0,3,0,15,8,10,6,16,14,43,0.0,0.0,2.12,3.45,3.73,2.0
0.0,0.0,3,3,2,0,3,0,10,8,6,4,19,17,59,0.0,0.0,1.83,3.6,4.84,2.0
0.0,0.0,6,11,2,0,1,0,11,12,7,7,8,14,49,0.0,0.0,2.51,3.31,3.04,1.0
0.0,0.0,6,3,1,0,6,0,16,8,7,3,12,23,52,0.0,0.0,2.04,3.4,4.07,0.0
0.0,0.0,7,2,2,0,3,1,8,7,2,4,14,19,64,0.0,0.0,2.39,3.34,3.21,0.0
0.0,0.0,8,7,3,0,1,0,9,8,4,0,19,20,54,0.0,0.0,1.93,3.51,4.44,0.0
0.0,0.0,6,4,1,0,2,0,14,8,4,3,14,5,55,0.0,0.0,1.82,3.59,4.96,1.0
0.0,0.0,4,6,2,0,2,0,15,14,10,9,22,19,54,0.0,0.0,1.6,3.95,6.61,1.0
0.0,0.0,7,3,0,0,2,0,13,3,6,2,13,11,57,0.0,0.0,2.14,3.5,3.6,0.0
0.0,0.0,2,2,2,0,2,0,10,4,7,3,12,20,43,0.0,0.0,3.2,3.39,2.37,2.0
0.0,0.0,8,7,2,0,2,0,8,9,5,3,13,12,51,0.0,0.0,2.21,3.38,3.55,2.0
0.0,0.0,5,5,3,0,2,0,17,17,7,8,19,18,61,0.0,0.0,1.84,3.57,4.85,2.0
0.0,0.0,5,5,1,0,5,0,11,3,8,2,17,17,45,0.0,0.0,2.33,3.35,3.31,0.0
0.0,0.0,3,4,3,0,2,0,8,12,4,5,20,16,54,0.0,0.0,1.65,3.86,6.16,1.0
